Year,Make,Model,Class,Drive,Transmission,Engine Cylinders,Engine Index,Engine Displacement,Turbocharger,Supercharger,Fuel Type,Combined MPG,City MPG,Highway MPG,Annual Fuel Cost
2001,Ford,Ranger 2WD FFV,Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 5-Speed,6,0,3,No,No,Regular Gasoline,17,15,20,2050
2001,Chrysler,Town and Country/Voyager/Grand Voy. 2WD,Minivan - 2WD,Front-Wheel Drive,Automatic 4-Speed,6,0,3.3,No,No,Regular Gasoline,18,16,22,1850
2001,Dodge,Caravan/Grand Caravan 2WD,Minivan - 2WD,Front-Wheel Drive,Automatic 4-Speed,6,0,3.3,No,No,Regular Gasoline,18,16,22,1850
2001,Chevrolet,Cavalier Dual-fuel,Subcompact Cars,Front-Wheel Drive,Automatic 4-Speed,4,0,2.2,No,No,Regular Gasoline,23,20,28,1500
2001,Chevrolet,S10 Pickup 2WD FFV,Small Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 4-Speed,4,0,2.2,No,No,Regular Gasoline,19,17,23,1850
2001,Chevrolet,S10 Pickup 2WD FFV,Small Pickup Trucks 2WD,Rear-Wheel Drive,Manual 5-Speed,4,0,2.2,No,No,Regular Gasoline,22,19,25,1600
2001,GMC,Sonoma 2WD (FFV),Small Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 4-Speed,4,0,2.2,No,No,Regular Gasoline,19,17,23,2500
2001,GMC,Sonoma 2WD (FFV),Small Pickup Trucks 2WD,Rear-Wheel Drive,Manual 5-Speed,4,0,2.2,No,No,Regular Gasoline,22,19,25,2500
2001,Isuzu,Hombre Pickup 2WD (FFV),Small Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 4-Speed,4,0,2.2,No,No,Regular Gasoline,19,17,23,2500
2001,Isuzu,Hombre Pickup 2WD (FFV),Small Pickup Trucks 2WD,Rear-Wheel Drive,Manual 5-Speed,4,0,2.2,No,No,Regular Gasoline,22,19,25,2500
2001,Ford,F150 Dual-fuel 2WD (CNG),Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 4-Speed,8,0,5.4,No,No,Regular Gasoline,11,10,14,1950
2001,Ford,F150 Dual-fuel 4WD (CNG),Standard Pickup Trucks 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.4,No,No,Regular Gasoline,11,10,14,1950
2001,Ford,F150 Dual-fuel 2WD (LPG),Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 4-Speed,8,0,5.4,No,No,Regular Gasoline,12,11,15,1950
